,datetime,holiday,workingday,temp,humidity,windspeed,casual,registered,rented_bikes_count,year,month,revenue,profit,season_Spring,season_Summer,season_Winter,weather_Mist,weather_Rainy,weather_Snowy,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday
0,2011-01-01 03:00:00,1,0.0,9.84,75.0,0.0,3,10,13,2011,1,110,94.42876712328768,0,0,1,0,0,0,0,1,0,0,0,0
1,2011-01-01 11:00:00,1,0.0,14.76,81.0,19.0012,26,30,56,2011,1,670,576.0287671232877,0,0,1,0,0,0,0,1,0,0,0,0
2,2011-01-01 14:00:00,1,0.0,18.86,72.0,19.0012,16,71,106,2011,1,1055,907.1287671232876,0,0,1,1,0,0,0,1,0,0,0,0
3,2011-01-01 15:00:00,1,0.0,18.04,77.0,19.9995,16,70,110,2011,1,1150,988.8287671232875,0,0,1,1,0,0,0,1,0,0,0,0
4,2011-01-01 16:00:00,1,0.0,17.22,82.0,19.9995,16,52,93,2011,1,1080,928.6287671232876,0,0,1,1,0,0,0,1,0,0,0,0
5,2011-01-01 17:00:00,1,0.0,18.04,82.0,19.0012,15,52,67,2011,1,560,481.4287671232877,0,0,1,1,0,0,0,1,0,0,0,0
6,2011-01-01 18:00:00,1,0.0,17.22,88.0,16.9979,9,26,35,2011,1,310,266.4287671232877,0,0,1,0,1,0,0,1,0,0,0,0
7,2011-01-02 00:00:00,1,1.0,18.86,88.0,19.9995,4,13,17,2011,1,145,124.52876712328768,0,0,1,1,0,0,0,0,1,0,0,0
8,2011-01-02 02:00:00,1,0.0,17.22,100.0,19.0012,1,8,9,2011,1,60,51.42876712328767,0,0,1,1,0,0,0,0,1,0,0,0
9,2011-01-02 08:00:00,1,0.0,16.4,71.0,15.0013,0,8,8,2011,1,40,34.22876712328767,0,0,1,0,1,0,0,0,1,0,0,0
10,2011-01-02 15:00:00,1,0.0,13.94,81.0,11.0014,19,55,74,2011,1,655,563.1287671232876,0,0,1,0,1,0,0,0,1,0,0,0
11,2011-01-02 16:00:00,1,0.0,13.94,71.0,11.0014,9,67,76,2011,1,515,442.7287671232877,0,0,1,0,1,0,0,0,1,0,0,0
12,2011-01-02 20:00:00,1,0.0,12.3,39.0,23.9994,5,17,22,2011,1,185,158.92876712328768,0,0,1,0,0,0,0,0,1,0,0,0
13,2011-01-02 22:00:00,1,0.0,9.84,44.0,19.9995,0,9,9,2011,1,45,38.52876712328767,0,0,1,0,0,0,0,0,1,0,0,0
14,2011-01-03 06:00:00,0,1.0,5.74,50.0,26.0027,0,30,30,2011,1,150,128.82876712328766,0,0,1,0,0,0,1,0,0,0,0,0
15,2011-01-03 14:00:00,0,1.0,10.66,30.0,19.0012,11,66,77,2011,1,550,472.82876712328766,0,0,1,0,0,0,1,0,0,0,0,0
16,2011-01-03 17:00:00,0,1.0,9.84,30.0,15.0013,11,146,157,2011,1,950,816.8287671232877,0,0,1,0,0,0,1,0,0,0,0,0
17,2011-01-03 19:00:00,0,1.0,8.2,47.0,0.0,8,102,110,2011,1,670,576.0287671232877,0,0,1,0,0,0,1,0,0,0,0,0
18,2011-01-04 01:00:00,0,1.0,6.56,59.0,7.0015,0,2,2,2011,1,10,8.42876712328767,0,0,1,0,0,0,0,0,0,0,1,0
19,2011-01-04 09:00:00,0,1.0,6.56,64.0,15.0013,2,98,100,2011,1,530,455.6287671232877,0,0,1,0,0,0,0,0,0,0,1,0
20,2011-01-04 11:00:00,0,1.0,9.02,51.0,19.9995,7,50,57,2011,1,390,335.22876712328764,0,0,1,0,0,0,0,0,0,0,1,0
