,datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,year,month,day,revenue,profit
0,2011-01-01 03:00:00,Winter,1,0.0,Clear,9.84,75.0,0.0,3,10,13,2011,1,Saturday,110,94.42876712328767
1,2011-01-01 11:00:00,Winter,1,0.0,Clear,14.76,81.0,19.0012,26,30,56,2011,1,Saturday,670,576.0287671232877
2,2011-01-01 14:00:00,Winter,1,0.0,Mist,18.86,72.0,19.0012,35,71,106,2011,1,Saturday,1055,907.1287671232876
3,2011-01-01 15:00:00,Winter,1,0.0,Mist,18.04,77.0,19.9995,40,70,110,2011,1,Saturday,1150,988.8287671232877
4,2011-01-01 16:00:00,Winter,1,0.0,Mist,17.22,82.0,19.9995,41,52,93,2011,1,Saturday,1080,928.6287671232876
5,2011-01-01 17:00:00,Winter,1,0.0,Mist,18.04,82.0,19.0012,15,52,67,2011,1,Saturday,560,481.4287671232877
6,2011-01-01 18:00:00,Winter,1,0.0,Rainy,17.22,88.0,16.9979,9,26,35,2011,1,Saturday,310,266.4287671232877
7,2011-01-02 00:00:00,Winter,1,1.0,Mist,18.86,88.0,19.9995,4,13,17,2011,1,Sunday,145,124.52876712328768
8,2011-01-02 02:00:00,Winter,1,0.0,Mist,17.22,100.0,19.0012,1,8,9,2011,1,Sunday,60,51.42876712328767
9,2011-01-02 08:00:00,Winter,1,0.0,Rainy,16.4,71.0,15.0013,0,8,8,2011,1,Sunday,40,34.22876712328767
10,2011-01-02 15:00:00,Winter,1,0.0,Rainy,13.94,81.0,11.0014,19,55,74,2011,1,Sunday,655,563.1287671232876
11,2011-01-02 16:00:00,Winter,1,0.0,Rainy,13.94,71.0,11.0014,9,67,76,2011,1,Sunday,515,442.72876712328764
12,2011-01-02 20:00:00,Winter,1,0.0,Clear,12.3,39.0,23.9994,5,17,22,2011,1,Sunday,185,158.92876712328768
13,2011-01-02 22:00:00,Winter,1,0.0,Clear,9.84,44.0,19.9995,0,9,9,2011,1,Sunday,45,38.52876712328767
14,2011-01-03 06:00:00,Winter,0,1.0,Clear,5.74,50.0,26.0027,0,30,30,2011,1,Monday,150,128.82876712328766
15,2011-01-03 14:00:00,Winter,0,1.0,Clear,10.66,30.0,19.0012,11,66,77,2011,1,Monday,550,472.82876712328766
16,2011-01-03 17:00:00,Winter,0,1.0,Clear,9.84,30.0,15.0013,11,146,157,2011,1,Monday,950,816.8287671232877
17,2011-01-03 19:00:00,Winter,0,1.0,Clear,8.2,47.0,0.0,8,102,110,2011,1,Monday,670,576.0287671232877
18,2011-01-04 01:00:00,Winter,0,1.0,Clear,6.56,59.0,7.0015,0,2,2,2011,1,Tuesday,10,8.42876712328767
19,2011-01-04 09:00:00,Winter,0,1.0,Clear,6.56,64.0,15.0013,2,98,100,2011,1,Tuesday,530,455.6287671232877
20,2011-01-04 11:00:00,Winter,0,1.0,Clear,9.02,51.0,19.9995,7,50,57,2011,1,Tuesday,390,335.22876712328764
21,2011-01-04 13:00:00,Winter,0,1.0,Clear,9.84,56.0,12.998,18,79,97,2011,1,Tuesday,755,649.1287671232876
22,2011-01-04 14:00:00,Winter,0,1.0,Clear,10.66,52.0,15.0013,9,54,63,2011,1,Tuesday,450,386.82876712328766
23,2011-01-04 15:00:00,Winter,0,1.0,Clear,11.48,52.0,16.9979,17,48,65,2011,1,Tuesday,580,498.6287671232877
24,2011-01-04 17:00:00,Winter,0,1.0,Clear,11.48,48.0,15.0013,10,202,212,2011,1,Tuesday,1210,1040.4287671232876
25,2011-01-04 18:00:00,Winter,0,1.0,Clear,10.66,48.0,12.998,3,179,182,2011,1,Tuesday,955,821.1287671232876
26,2011-01-04 21:00:00,Winter,0,1.0,Clear,9.02,64.0,0.0,0,48,48,2011,1,Tuesday,240,206.22876712328767
27,2011-01-04 23:00:00,Winter,0,1.0,Clear,8.2,69.0,6.0032,2,9,11,2011,1,Tuesday,85,72.92876712328767
28,2011-01-05 00:00:00,Winter,0,1.0,Clear,8.2,64.0,0.0,0,6,6,2011,1,Wednesday,30,25.628767123287673
29,2011-01-05 06:00:00,Winter,0,1.0,Clear,8.2,47.0,15.0013,0,33,33,2011,1,Wednesday,165,141.72876712328767
30,2011-01-05 08:00:00,Winter,0,1.0,Clear,8.2,40.0,19.9995,3,192,195,2011,1,Wednesday,1020,877.0287671232877
31,2011-01-05 09:00:00,Winter,0,1.0,Clear,9.02,37.0,22.0028,6,109,115,2011,1,Wednesday,665,571.7287671232876
32,2011-01-05 10:00:00,Winter,0,1.0,Clear,9.02,37.0,22.0028,4,53,57,2011,1,Wednesday,345,296.52876712328765
33,2011-01-05 14:00:00,Winter,0,1.0,Clear,12.3,28.0,12.998,10,52,62,2011,1,Wednesday,460,395.4287671232877
34,2011-01-05 16:00:00,Winter,0,1.0,Clear,12.3,28.0,6.0032,4,85,89,2011,1,Wednesday,505,434.1287671232877
35,2011-01-05 18:00:00,Winter,0,1.0,Clear,9.84,38.0,8.9981,3,166,169,2011,1,Wednesday,890,765.2287671232876
36,2011-01-05 23:00:00,Winter,0,1.0,Clear,8.2,47.0,0.0,1,18,19,2011,1,Wednesday,110,94.42876712328767
37,2011-01-06 13:00:00,Winter,0,1.0,Clear,10.66,35.0,7.0015,12,55,67,2011,1,Thursday,515,442.72876712328764
38,2011-01-06 19:00:00,Winter,0,1.0,Clear,9.02,55.0,6.0032,3,109,112,2011,1,Thursday,605,520.1287671232876
39,2011-01-06 20:00:00,Winter,0,1.0,Clear,8.2,51.0,11.0014,3,66,69,2011,1,Thursday,390,335.22876712328764
40,2011-01-06 21:00:00,Winter,0,1.0,Mist,9.02,55.0,15.0013,0,48,48,2011,1,Thursday,240,206.22876712328767
41,2011-01-07 01:00:00,Winter,0,1.0,Mist,8.2,69.0,15.0013,2,5,7,2011,1,Friday,65,55.72876712328767
42,2011-01-07 02:00:00,Winter,0,1.0,Mist,8.2,69.0,15.0013,0,1,1,2011,1,Friday,5,4.1287671232876715
43,2011-01-07 09:00:00,Winter,0,1.0,Clear,8.2,47.0,19.9995,9,125,134,2011,1,Friday,805,692.1287671232876
44,2011-01-07 13:00:00,Winter,0,1.0,Mist,8.2,37.0,19.0012,9,64,73,2011,1,Friday,500,429.82876712328766
45,2011-01-07 14:00:00,Winter,0,1.0,Mist,8.2,40.0,16.9979,7,43,50,2011,1,Friday,355,305.1287671232877
46,2011-01-07 15:00:00,Winter,0,1.0,Mist,8.2,37.0,11.0014,9,63,72,2011,1,Friday,495,425.52876712328765
47,2011-01-07 16:00:00,Winter,0,1.0,Mist,8.2,37.0,11.0014,5,82,87,2011,1,Friday,510,438.4287671232877
48,2011-01-07 19:00:00,Winter,0,1.0,Clear,6.56,55.0,6.0032,3,92,95,2011,1,Friday,520,447.02876712328765
49,2011-01-07 20:00:00,Winter,0,1.0,Clear,7.38,47.0,7.0015,1,50,51,2011,1,Friday,270,232.02876712328765
50,2011-01-08 01:00:00,Winter,1,0.0,Mist,7.38,55.0,6.0032,1,15,16,2011,1,Saturday,95,81.52876712328766
51,2011-01-08 02:00:00,Winter,1,0.0,Mist,7.38,55.0,0.0,3,13,16,2011,1,Saturday,125,107.32876712328768
52,2011-01-08 03:00:00,Winter,1,0.0,Rainy,7.38,55.0,11.0014,0,7,7,2011,1,Saturday,35,29.92876712328767
53,2011-01-08 04:00:00,Winter,1,0.0,Rainy,7.38,55.0,11.0014,0,1,1,2011,1,Saturday,5,4.1287671232876715
54,2011-01-08 07:00:00,Winter,1,0.0,Mist,6.56,74.0,7.0015,1,8,9,2011,1,Saturday,60,51.42876712328767
55,2011-01-08 08:00:00,Winter,1,0.0,Rainy,6.56,93.0,7.0015,0,15,15,2011,1,Saturday,75,64.32876712328766
56,2011-01-08 09:00:00,Winter,1,1.0,Rainy,6.56,93.0,7.0015,0,20,20,2011,1,Saturday,100,85.82876712328766
57,2011-01-08 10:00:00,Winter,1,0.0,Mist,7.38,80.0,11.0014,5,56,61,2011,1,Saturday,380,326.6287671232877
58,2011-01-08 23:00:00,Winter,1,0.0,Clear,4.1,39.0,30.0026,0,22,22,2011,1,Saturday,110,94.42876712328767
59,2011-01-09 01:00:00,Winter,1,0.0,Clear,4.1,42.0,31.0009,0,12,12,2011,1,Sunday,60,51.42876712328767
60,2011-01-09 04:00:00,Winter,1,0.0,Clear,3.28,53.0,12.998,0,1,1,2011,1,Sunday,5,4.1287671232876715
61,2011-01-09 07:00:00,Winter,1,0.0,Clear,3.28,53.0,12.998,1,5,6,2011,1,Sunday,45,38.52876712328767
62,2011-01-09 10:00:00,Winter,1,1.0,Clear,5.74,43.0,26.0027,0,49,49,2011,1,Sunday,245,210.52876712328765
63,2011-01-09 11:00:00,Winter,1,0.0,Clear,6.56,40.0,35.0008,2,47,49,2011,1,Sunday,275,236.32876712328766
64,2011-01-09 12:00:00,Winter,1,0.0,Clear,7.38,37.0,30.0026,4,79,83,2011,1,Sunday,475,408.32876712328766
65,2011-01-09 13:00:00,Winter,1,0.0,Clear,8.2,34.0,30.0026,6,69,75,2011,1,Sunday,465,399.72876712328764
66,2011-01-09 16:00:00,Winter,1,0.0,Clear,8.2,34.0,30.0026,13,79,92,2011,1,Sunday,655,563.1287671232876
67,2011-01-09 20:00:00,Winter,1,0.0,Clear,5.74,46.0,16.9979,0,38,38,2011,1,Sunday,190,163.22876712328767
68,2011-01-10 01:00:00,Winter,0,1.0,Clear,4.92,50.0,19.0012,1,0,1,2011,1,Monday,20,17.028767123287672
