,datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,year,month,day
3,2011-01-01 03:00:00,Winter,1,0.0,Clear,9.84,75.0,0.0,3,10,13,2011,1,Saturday
11,2011-01-01 11:00:00,Winter,1,0.0,Clear,14.76,81.0,19.0012,26,30,56,2011,1,Saturday
14,2011-01-01 14:00:00,Winter,1,0.0,Mist,18.86,72.0,19.0012,35,71,106,2011,1,Saturday
15,2011-01-01 15:00:00,Winter,1,0.0,Mist,18.04,77.0,19.9995,40,70,110,2011,1,Saturday
16,2011-01-01 16:00:00,Winter,1,0.0,Mist,17.22,82.0,19.9995,41,52,93,2011,1,Saturday
17,2011-01-01 17:00:00,Winter,1,0.0,Mist,18.04,82.0,19.0012,15,52,67,2011,1,Saturday
18,2011-01-01 18:00:00,Winter,1,0.0,Rainy,17.22,88.0,16.9979,9,26,35,2011,1,Saturday
24,2011-01-02 00:00:00,Winter,1,1.0,Mist,18.86,88.0,19.9995,4,13,17,2011,1,Sunday
26,2011-01-02 02:00:00,Winter,1,0.0,Mist,17.22,100.0,19.0012,1,8,9,2011,1,Sunday
31,2011-01-02 08:00:00,Winter,1,0.0,Rainy,16.4,71.0,15.0013,0,8,8,2011,1,Sunday
38,2011-01-02 15:00:00,Winter,1,0.0,Rainy,13.94,81.0,11.0014,19,55,74,2011,1,Sunday
39,2011-01-02 16:00:00,Winter,1,0.0,Rainy,13.94,71.0,11.0014,9,67,76,2011,1,Sunday
43,2011-01-02 20:00:00,Winter,1,0.0,Clear,12.3,39.0,23.9994,5,17,22,2011,1,Sunday
45,2011-01-02 22:00:00,Winter,1,0.0,Clear,9.84,44.0,19.9995,0,9,9,2011,1,Sunday
51,2011-01-03 06:00:00,Winter,0,1.0,Clear,5.74,50.0,26.0027,0,30,30,2011,1,Monday
59,2011-01-03 14:00:00,Winter,0,1.0,Clear,10.66,30.0,19.0012,11,66,77,2011,1,Monday
62,2011-01-03 17:00:00,Winter,0,1.0,Clear,9.84,30.0,15.0013,11,146,157,2011,1,Monday
64,2011-01-03 19:00:00,Winter,0,1.0,Clear,8.2,47.0,0.0,8,102,110,2011,1,Monday
70,2011-01-04 01:00:00,Winter,0,1.0,Clear,6.56,59.0,7.0015,0,2,2,2011,1,Tuesday
77,2011-01-04 09:00:00,Winter,0,1.0,Clear,6.56,64.0,15.0013,2,98,100,2011,1,Tuesday
