,holiday,workingday,temp,humidity,windspeed,rented_bikes_count,year,month,revenue,profit,season_Spring,season_Summer,season_Winter,weather_Mist,weather_Rainy,weather_Snowy,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday
0,1,0.0,9.84,75.0,0.0,13,2011,1,110,94.42876712328768,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0.0,14.76,81.0,19.0012,56,2011,1,670,576.0287671232877,0,0,1,0,0,0,0,1,0,0,0,0
2,1,0.0,18.86,72.0,19.0012,106,2011,1,1055,907.1287671232876,0,0,1,1,0,0,0,1,0,0,0,0
3,1,0.0,18.04,77.0,19.9995,110,2011,1,1150,988.8287671232875,0,0,1,1,0,0,0,1,0,0,0,0
4,1,0.0,17.22,82.0,19.9995,93,2011,1,1080,928.6287671232876,0,0,1,1,0,0,0,1,0,0,0,0
5,1,0.0,18.04,82.0,19.0012,67,2011,1,560,481.4287671232877,0,0,1,1,0,0,0,1,0,0,0,0
6,1,0.0,17.22,88.0,16.9979,35,2011,1,310,266.4287671232877,0,0,1,0,1,0,0,1,0,0,0,0
7,1,1.0,18.86,88.0,19.9995,17,2011,1,145,124.52876712328768,0,0,1,1,0,0,0,0,1,0,0,0
8,1,0.0,17.22,100.0,19.0012,9,2011,1,60,51.42876712328767,0,0,1,1,0,0,0,0,1,0,0,0
9,1,0.0,16.4,71.0,15.0013,8,2011,1,40,34.22876712328767,0,0,1,0,1,0,0,0,1,0,0,0
10,1,0.0,13.94,81.0,11.0014,74,2011,1,655,563.1287671232876,0,0,1,0,1,0,0,0,1,0,0,0
11,1,0.0,13.94,71.0,11.0014,76,2011,1,515,442.7287671232877,0,0,1,0,1,0,0,0,1,0,0,0
12,1,0.0,12.3,39.0,23.9994,22,2011,1,185,158.92876712328768,0,0,1,0,0,0,0,0,1,0,0,0
13,1,0.0,9.84,44.0,19.9995,9,2011,1,45,38.52876712328767,0,0,1,0,0,0,0,0,1,0,0,0
14,0,1.0,5.74,50.0,26.0027,30,2011,1,150,128.82876712328766,0,0,1,0,0,0,1,0,0,0,0,0
15,0,1.0,10.66,30.0,19.0012,77,2011,1,550,472.82876712328766,0,0,1,0,0,0,1,0,0,0,0,0
16,0,1.0,9.84,30.0,15.0013,157,2011,1,950,816.8287671232877,0,0,1,0,0,0,1,0,0,0,0,0
17,0,1.0,8.2,47.0,0.0,110,2011,1,670,576.0287671232877,0,0,1,0,0,0,1,0,0,0,0,0
18,0,1.0,6.56,59.0,7.0015,2,2011,1,10,8.42876712328767,0,0,1,0,0,0,0,0,0,0,1,0
19,0,1.0,6.56,64.0,15.0013,100,2011,1,530,455.6287671232877,0,0,1,0,0,0,0,0,0,0,1,0
20,0,1.0,9.02,51.0,19.9995,57,2011,1,390,335.22876712328764,0,0,1,0,0,0,0,0,0,0,1,0
21,0,1.0,9.84,56.0,12.998,97,2011,1,755,649.1287671232876,0,0,1,0,0,0,0,0,0,0,1,0
22,0,1.0,10.66,52.0,15.0013,63,2011,1,450,386.82876712328766,0,0,1,0,0,0,0,0,0,0,1,0
23,0,1.0,11.48,52.0,16.9979,65,2011,1,580,498.6287671232877,0,0,1,0,0,0,0,0,0,0,1,0
24,0,1.0,11.48,48.0,15.0013,212,2011,1,1210,1040.4287671232876,0,0,1,0,0,0,0,0,0,0,1,0
25,0,1.0,10.66,48.0,12.998,182,2011,1,955,821.1287671232876,0,0,1,0,0,0,0,0,0,0,1,0
26,0,1.0,9.02,64.0,0.0,48,2011,1,240,206.22876712328767,0,0,1,0,0,0,0,0,0,0,1,0
27,0,1.0,8.2,69.0,6.0032,11,2011,1,85,72.92876712328767,0,0,1,0,0,0,0,0,0,0,1,0
28,0,1.0,8.2,64.0,0.0,6,2011,1,30,25.628767123287677,0,0,1,0,0,0,0,0,0,0,0,1
29,0,1.0,8.2,47.0,15.0013,33,2011,1,165,141.72876712328767,0,0,1,0,0,0,0,0,0,0,0,1
30,0,1.0,8.2,40.0,19.9995,195,2011,1,1020,877.0287671232877,0,0,1,0,0,0,0,0,0,0,0,1
31,0,1.0,9.02,37.0,22.0028,115,2011,1,665,571.7287671232876,0,0,1,0,0,0,0,0,0,0,0,1
32,0,1.0,9.02,37.0,22.0028,57,2011,1,345,296.52876712328765,0,0,1,0,0,0,0,0,0,0,0,1
33,0,1.0,12.3,28.0,12.998,62,2011,1,460,395.4287671232877,0,0,1,0,0,0,0,0,0,0,0,1
34,0,1.0,12.3,28.0,6.0032,89,2011,1,505,434.1287671232877,0,0,1,0,0,0,0,0,0,0,0,1
35,0,1.0,9.84,38.0,8.9981,169,2011,1,890,765.2287671232876,0,0,1,0,0,0,0,0,0,0,0,1
36,0,1.0,8.2,47.0,0.0,19,2011,1,110,94.42876712328768,0,0,1,0,0,0,0,0,0,0,0,1
37,0,1.0,10.66,35.0,7.0015,67,2011,1,515,442.7287671232877,0,0,1,0,0,0,0,0,0,1,0,0
38,0,1.0,9.02,55.0,6.0032,112,2011,1,605,520.1287671232876,0,0,1,0,0,0,0,0,0,1,0,0
39,0,1.0,8.2,51.0,11.0014,69,2011,1,390,335.22876712328764,0,0,1,0,0,0,0,0,0,1,0,0
40,0,1.0,9.02,55.0,15.0013,48,2011,1,240,206.22876712328767,0,0,1,1,0,0,0,0,0,1,0,0
41,0,1.0,8.2,69.0,15.0013,7,2011,1,65,55.72876712328767,0,0,1,1,0,0,0,0,0,0,0,0
42,0,1.0,8.2,69.0,15.0013,1,2011,1,5,4.128767123287672,0,0,1,1,0,0,0,0,0,0,0,0
43,0,1.0,8.2,47.0,19.9995,134,2011,1,805,692.1287671232876,0,0,1,0,0,0,0,0,0,0,0,0
44,0,1.0,8.2,37.0,19.0012,73,2011,1,500,429.82876712328766,0,0,1,1,0,0,0,0,0,0,0,0
45,0,1.0,8.2,40.0,16.9979,50,2011,1,355,305.1287671232877,0,0,1,1,0,0,0,0,0,0,0,0
46,0,1.0,8.2,37.0,11.0014,72,2011,1,495,425.5287671232877,0,0,1,1,0,0,0,0,0,0,0,0
47,0,1.0,8.2,37.0,11.0014,87,2011,1,510,438.4287671232877,0,0,1,1,0,0,0,0,0,0,0,0
48,0,1.0,6.56,55.0,6.0032,95,2011,1,520,447.0287671232877,0,0,1,0,0,0,0,0,0,0,0,0
49,0,1.0,7.38,47.0,7.0015,51,2011,1,270,232.02876712328765,0,0,1,0,0,0,0,0,0,0,0,0
50,1,0.0,7.38,55.0,6.0032,16,2011,1,95,81.52876712328766,0,0,1,1,0,0,0,1,0,0,0,0
51,1,0.0,7.38,55.0,0.0,16,2011,1,125,107.32876712328768,0,0,1,1,0,0,0,1,0,0,0,0
52,1,0.0,7.38,55.0,11.0014,7,2011,1,35,29.92876712328767,0,0,1,0,1,0,0,1,0,0,0,0
53,1,0.0,7.38,55.0,11.0014,1,2011,1,5,4.128767123287672,0,0,1,0,1,0,0,1,0,0,0,0
54,1,0.0,6.56,74.0,7.0015,9,2011,1,60,51.42876712328767,0,0,1,1,0,0,0,1,0,0,0,0
55,1,0.0,6.56,93.0,7.0015,15,2011,1,75,64.32876712328766,0,0,1,0,1,0,0,1,0,0,0,0
56,1,1.0,6.56,93.0,7.0015,20,2011,1,100,85.82876712328766,0,0,1,0,1,0,0,1,0,0,0,0
57,1,0.0,7.38,80.0,11.0014,61,2011,1,380,326.6287671232877,0,0,1,1,0,0,0,1,0,0,0,0
58,1,0.0,4.1,39.0,30.0026,22,2011,1,110,94.42876712328768,0,0,1,0,0,0,0,1,0,0,0,0
59,1,0.0,4.1,42.0,31.0009,12,2011,1,60,51.42876712328767,0,0,1,0,0,0,0,0,1,0,0,0
60,1,0.0,3.28,53.0,12.998,1,2011,1,5,4.128767123287672,0,0,1,0,0,0,0,0,1,0,0,0
61,1,0.0,3.28,53.0,12.998,6,2011,1,45,38.52876712328767,0,0,1,0,0,0,0,0,1,0,0,0
62,1,1.0,5.74,43.0,26.0027,49,2011,1,245,210.52876712328765,0,0,1,0,0,0,0,0,1,0,0,0
63,1,0.0,6.56,40.0,12.998,49,2011,1,275,236.3287671232877,0,0,1,0,0,0,0,0,1,0,0,0
64,1,0.0,7.38,37.0,30.0026,83,2011,1,475,408.32876712328766,0,0,1,0,0,0,0,0,1,0,0,0
65,1,0.0,8.2,34.0,30.0026,75,2011,1,465,399.7287671232877,0,0,1,0,0,0,0,0,1,0,0,0
66,1,0.0,8.2,34.0,30.0026,92,2011,1,655,563.1287671232876,0,0,1,0,0,0,0,0,1,0,0,0
67,1,0.0,5.74,46.0,16.9979,38,2011,1,190,163.22876712328767,0,0,1,0,0,0,0,0,1,0,0,0
68,0,1.0,4.92,50.0,19.0012,1,2011,1,20,17.028767123287672,0,0,1,0,0,0,1,0,0,0,0,0
69,0,1.0,4.92,50.0,15.0013,3,2011,1,15,12.728767123287671,0,0,1,0,0,0,1,0,0,0,0,0
70,0,1.0,4.1,54.0,16.9979,3,2011,1,15,12.728767123287671,0,0,1,0,0,0,1,0,0,0,0,0
71,0,1.0,5.74,50.0,19.9995,31,2011,1,155,133.12876712328767,0,0,1,1,0,0,1,0,0,0,0,0
72,0,1.0,8.2,40.0,15.0013,155,2011,1,790,679.2287671232876,0,0,1,0,0,0,1,0,0,0,0,0
73,0,1.0,6.56,47.0,11.0014,95,2011,1,520,447.0287671232877,0,0,1,0,0,0,1,0,0,0,0,0
74,0,1.0,6.56,50.0,11.0014,74,2011,1,385,330.9287671232877,0,0,1,0,0,0,1,0,0,0,0,0
75,0,1.0,5.74,59.0,12.998,38,2011,1,205,176.12876712328767,0,0,1,0,0,0,1,0,0,0,0,0
76,0,1.0,7.38,51.0,11.0014,130,2011,1,695,597.5287671232877,0,0,1,1,0,0,0,0,0,0,1,0
77,0,1.0,6.56,93.0,7.0015,29,2011,1,160,137.42876712328768,0,0,1,0,1,0,0,0,0,0,1,0
78,0,1.0,9.02,44.0,22.0028,68,2011,1,415,356.72876712328764,0,0,1,0,0,0,0,0,0,0,0,1
79,0,1.0,8.2,47.0,12.998,137,2011,1,715,614.7287671232876,0,0,1,0,0,0,0,0,0,0,0,1
80,0,1.0,6.56,55.0,30.0026,33,2011,1,180,154.62876712328767,0,0,1,0,0,0,0,0,0,0,0,1
81,0,1.0,5.74,59.0,27.9993,20,2011,1,115,98.72876712328768,0,0,1,0,0,0,0,0,0,0,0,1
82,0,1.0,5.74,50.0,22.0028,3,2011,1,15,12.728767123287671,0,0,1,0,0,0,0,0,0,1,0,0
83,0,1.0,5.74,50.0,16.9979,4,2011,1,20,17.028767123287672,0,0,1,0,0,0,0,0,0,1,0,0
84,0,1.0,5.74,50.0,19.9995,3,2011,1,15,12.728767123287671,0,0,1,0,0,0,0,0,0,1,0,0
85,0,1.0,4.92,54.0,8.9981,28,2011,1,140,120.22876712328768,0,0,1,0,0,0,0,0,0,1,0,0
86,0,1.0,4.92,54.0,8.9981,72,2011,1,360,309.4287671232877,0,0,1,0,0,0,0,0,0,1,0,0
87,0,1.0,8.2,44.0,30.0026,37,2011,1,245,210.52876712328765,0,0,1,1,0,0,0,0,0,1,0,0
88,0,1.0,9.02,41.0,26.0027,42,2011,1,255,219.12876712328767,0,0,1,0,0,0,0,0,0,1,0,0
89,0,1.0,9.84,38.0,19.9995,60,2011,1,375,322.32876712328766,0,0,1,0,0,0,0,0,0,1,0,0
90,0,1.0,8.2,40.0,19.0012,162,2011,1,870,748.0287671232877,0,0,1,0,0,0,0,0,0,1,0,0
91,0,1.0,8.2,40.0,22.0028,144,2011,1,765,657.7287671232876,0,0,1,0,0,0,0,0,0,1,0,0
92,0,1.0,5.74,69.0,8.9981,117,2011,1,585,502.9287671232877,0,0,1,0,0,0,0,0,0,0,0,0
93,0,1.0,6.56,59.0,6.0032,92,2011,1,505,434.1287671232877,0,0,1,0,0,0,0,0,0,0,0,0
94,1,0.0,7.38,55.0,0.0,28,2011,1,185,158.92876712328768,0,0,1,0,0,0,0,1,0,0,0,0
95,1,0.0,6.56,59.0,6.0032,20,2011,1,130,111.62876712328767,0,0,1,1,0,0,0,1,0,0,0,0
96,1,0.0,13.12,36.0,12.998,129,2011,1,960,825.4287671232877,0,0,1,1,0,0,0,1,0,0,0,0
97,1,1.0,12.3,45.0,16.9979,84,2011,1,645,554.5287671232877,0,0,1,1,0,0,0,1,0,0,0,0
98,1,0.0,12.3,42.0,7.0015,26,2011,1,130,111.62876712328767,0,0,1,1,0,0,0,1,0,0,0,0
99,1,0.0,10.66,56.0,11.0014,2,2011,1,25,21.32876712328767,0,0,1,1,0,0,0,0,1,0,0,0
100,1,0.0,10.66,56.0,11.0014,1,2011,1,5,4.128767123287672,0,0,1,1,0,0,0,0,1,0,0,0
101,1,0.0,9.84,56.0,19.9995,3,2011,1,15,12.728767123287671,0,0,1,1,0,0,0,0,1,0,0,0
102,1,1.0,9.84,41.0,19.0012,104,2011,1,955,821.1287671232876,0,0,1,0,0,0,0,0,1,0,0,0
103,1,0.0,7.38,47.0,8.9981,61,2011,1,515,442.7287671232877,0,0,1,0,0,0,0,0,1,0,0,0
104,0,0.0,8.2,44.0,12.998,16,2011,1,95,81.52876712328766,0,0,1,1,0,0,1,0,0,0,0,0
105,0,0.0,7.38,43.0,16.9979,8,2011,1,40,34.22876712328767,0,0,1,1,0,0,1,0,0,0,0,0
106,0,0.0,7.38,43.0,12.998,2,2011,1,10,8.42876712328767,0,0,1,1,0,0,1,0,0,0,0,0
107,0,0.0,6.56,55.0,12.998,64,2011,1,455,391.1287671232877,0,0,1,1,0,0,1,0,0,0,0,0
108,0,0.0,5.74,93.0,16.9979,13,2011,1,65,55.72876712328767,0,0,1,0,1,0,1,0,0,0,0,0
109,0,1.0,9.02,87.0,11.0014,35,2011,1,220,189.02876712328768,0,0,1,1,0,0,0,0,0,0,1,0
110,0,1.0,9.02,93.0,6.0032,33,2011,1,165,141.72876712328767,0,0,1,1,0,0,0,0,0,0,1,0
111,0,1.0,9.02,93.0,0.0,20,2011,1,115,98.72876712328768,0,0,1,1,0,0,0,0,0,0,1,0
112,0,1.0,9.02,93.0,8.9981,3,2011,1,15,12.728767123287671,0,0,1,0,1,0,0,0,0,0,0,1
113,0,1.0,9.84,92.0,7.0015,90,2011,1,465,399.7287671232877,0,0,1,1,0,0,0,0,0,0,0,1
114,0,1.0,11.48,87.0,6.0032,52,2011,1,335,287.9287671232877,0,0,1,1,0,0,0,0,0,0,0,1
115,0,1.0,12.3,81.0,6.0032,70,2011,1,425,365.32876712328766,0,0,1,1,0,0,0,0,0,0,0,1
116,0,1.0,16.4,58.0,16.9979,75,2011,1,480,412.6287671232877,0,0,1,0,0,0,0,0,0,0,0,1
117,0,1.0,15.58,58.0,26.0027,104,2011,1,670,576.0287671232877,0,0,1,0,0,0,0,0,0,0,0,1
118,0,1.0,14.76,57.0,22.0028,197,2011,1,1090,937.2287671232876,0,0,1,0,0,0,0,0,0,0,0,1
119,0,1.0,13.12,57.0,27.9993,112,2011,1,620,533.0287671232877,0,0,1,0,0,0,0,0,0,0,0,1
120,0,1.0,12.3,52.0,31.0009,28,2011,1,155,133.12876712328767,0,0,1,0,0,0,0,0,0,0,0,1
121,0,1.0,6.56,69.0,0.0,2,2011,2,10,8.42876712328767,0,0,1,1,0,0,0,0,0,0,1,0
122,0,1.0,6.56,69.0,0.0,2,2011,2,10,8.42876712328767,0,0,1,1,0,0,0,0,0,0,1,0
123,0,1.0,6.56,93.0,0.0,52,2011,2,260,223.42876712328768,0,0,1,0,1,0,0,0,0,0,1,0
124,0,1.0,9.84,75.0,0.0,52,2011,2,365,313.72876712328764,0,0,1,1,0,0,0,0,0,0,1,0
125,0,1.0,9.84,81.0,7.0015,168,2011,2,885,760.9287671232877,0,0,1,1,0,0,0,0,0,0,1,0
126,0,1.0,9.02,87.0,8.9981,64,2011,2,320,275.02876712328765,0,0,1,1,0,0,0,0,0,0,1,0
127,0,1.0,9.02,93.0,12.998,3,2011,2,15,12.728767123287671,0,0,1,0,1,0,0,0,0,0,0,1
128,0,1.0,9.84,93.0,12.998,52,2011,2,335,287.9287671232877,0,0,1,1,0,0,0,0,0,0,0,1
129,0,1.0,13.94,93.0,11.0014,75,2011,2,390,335.22876712328764,0,0,1,0,0,0,0,0,0,0,0,1
130,0,1.0,14.76,71.0,19.9995,103,2011,2,635,545.9287671232877,0,0,1,0,0,0,0,0,0,0,0,1
131,0,1.0,9.02,47.0,22.0028,63,2011,2,330,283.6287671232877,0,0,1,0,0,0,0,0,0,0,0,1
132,0,1.0,7.38,43.0,16.9979,1,2011,2,5,4.128767123287672,0,0,1,0,0,0,0,0,0,1,0,0
133,0,1.0,6.56,50.0,19.9995,2,2011,2,10,8.42876712328767,0,0,1,0,0,0,0,0,0,1,0,0
134,0,1.0,7.38,43.0,22.0028,52,2011,2,290,249.22876712328767,0,0,1,0,0,0,0,0,0,1,0,0
135,0,1.0,8.2,40.0,23.9994,69,2011,2,375,322.32876712328766,0,0,1,0,0,0,0,0,0,1,0,0
136,0,1.0,8.2,47.0,6.0032,109,2011,2,560,481.4287671232877,0,0,1,0,0,0,0,0,0,1,0,0
137,0,1.0,8.2,47.0,7.0015,38,2011,2,250,214.8287671232877,0,0,1,0,0,0,0,0,0,1,0,0
138,0,1.0,8.2,44.0,0.0,13,2011,2,110,94.42876712328768,0,0,1,1,0,0,0,0,0,0,0,0
139,0,1.0,5.74,63.0,7.0015,1,2011,2,5,4.128767123287672,0,0,1,1,0,0,0,0,0,0,0,0
140,0,1.0,5.74,74.0,8.9981,220,2011,2,1145,984.5287671232876,0,0,1,0,0,0,0,0,0,0,0,0
141,0,1.0,10.66,50.0,15.0013,82,2011,2,545,468.5287671232877,0,0,1,1,0,0,0,0,0,0,0,0
142,0,1.0,9.84,60.0,7.0015,155,2011,2,820,705.0287671232877,0,0,1,1,0,0,0,0,0,0,0,0
143,0,1.0,9.84,65.0,8.9981,103,2011,2,530,455.6287671232877,0,0,1,1,0,0,0,0,0,0,0,0
144,0,1.0,9.84,65.0,11.0014,71,2011,2,385,330.9287671232877,0,0,1,1,0,0,0,0,0,0,0,0
145,0,1.0,9.84,65.0,11.0014,46,2011,2,245,210.52876712328765,0,0,1,1,0,0,0,0,0,0,0,0
146,1,0.0,9.84,75.0,11.0014,11,2011,2,70,60.02876712328767,0,0,1,1,0,0,0,1,0,0,0,0
147,1,0.0,8.2,100.0,0.0,4,2011,2,20,17.028767123287672,0,0,1,0,1,0,0,1,0,0,0,0
148,1,0.0,9.02,100.0,8.9981,47,2011,2,250,214.8287671232877,0,0,1,0,1,0,0,1,0,0,0,0
149,1,0.0,9.02,100.0,0.0,60,2011,2,465,399.7287671232877,0,0,1,0,1,0,0,1,0,0,0,0
150,1,0.0,9.84,100.0,19.0012,78,2011,2,600,515.8287671232877,0,0,1,1,0,0,0,1,0,0,0,0
151,1,0.0,10.66,60.0,6.0032,13,2011,2,110,94.42876712328768,0,0,1,0,0,0,0,0,1,0,0,0
