,name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5,1.75
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5,12.5
2,Honda Jazz V,Chennai,2011,46000,Diesel,Manual,First,18.2,1199.0,88.7,5,4.5
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7,6.0
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5,17.74
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,Diesel,Manual,First,21.1,814.0,55.2,5,2.35
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8,17.5
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5,5.2
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5,1.95
10,Maruti Ciaz Zeta,Kochi,2018,25692,Diesel,Manual,First,21.56,1462.0,103.25,5,9.95
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Diesel,Automatic,First,16.8,1497.0,116.3,5,4.49
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5,5.6
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5,27.0
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5,17.5
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7,15.0
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5,5.4
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5,5.99
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5,28.0
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5,18.55
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5,8.25
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Diesel,Automatic,First,13.53,1984.0,177.01,5,23.5
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Diesel,Manual,First,18.5,1197.0,80.0,5,1.87
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Diesel,Automatic,First,14.4,1598.0,103.6,5,2.85
25,Honda City Corporate Edition,Mumbai,2012,51920,Diesel,Manual,First,16.8,1497.0,116.3,5,4.25
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5,4.25
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Diesel,Manual,Second,20.92,998.0,67.1,5,2.75
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Diesel,Manual,First,17.5,1199.0,88.7,5,9.9
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7,4.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5,7.75
31,Toyota Corolla Altis G,Delhi,2012,87615,Diesel,Manual,First,14.53,1798.0,138.1,5,6.75
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7,12.5
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5,11.5
