,year,kilometers_driven,owner_type,engine,power,seats,price,location_Bangalore,location_Chennai,location_Coimbatore,location_Delhi,location_Hyderabad,location_Jaipur,location_Kochi,location_Kolkata,location_Mumbai,location_Pune,fuel_type_Diesel,transmission_Manual
0,2010,72000.0,1,998.0,58.16,5,1.75,0,0,0,0,0,0,0,0,1,0,0,1
1,2015,41000.0,1,1582.0,126.2,5,5.75,0,0,0,0,0,0,0,0,0,1,1,1
2,2011,46000.0,1,1199.0,88.7,5,4.5,0,1,0,0,0,0,0,0,0,0,1,1
3,2012,87000.0,1,1248.0,88.76,7,6.0,0,1,0,0,0,0,0,0,0,0,1,1
4,2013,40670.0,2,1968.0,140.8,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
5,2012,75000.0,1,814.0,55.2,5,2.35,0,0,0,0,1,0,0,0,0,0,1,1
6,2013,86999.0,1,1461.0,63.1,5,3.5,0,0,0,0,0,1,0,0,0,0,1,1
7,2016,36000.0,1,2755.0,171.5,8,5.75,0,0,0,0,0,0,0,0,1,0,1,0
8,2013,64430.0,1,1598.0,103.6,5,5.2,0,0,0,0,0,0,0,0,0,1,1,1
9,2012,65932.0,2,1248.0,74.0,5,1.95,0,1,0,0,0,0,0,0,0,0,1,1
10,2018,25692.0,1,1462.0,103.25,5,5.75,0,0,0,0,0,0,1,0,0,0,1,1
11,2012,60000.0,1,1497.0,116.3,5,4.49,0,0,0,0,0,0,0,1,0,0,1,0
12,2015,64424.0,1,1248.0,74.0,5,5.6,0,0,0,0,0,1,0,0,0,0,1,1
13,2014,72000.0,1,2179.0,187.7,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
14,2012,85000.0,2,2179.0,115.0,5,5.75,0,0,0,0,0,0,0,0,0,1,1,0
15,2014,110000.0,1,2477.0,175.56,7,5.75,0,0,0,1,0,0,0,0,0,0,1,1
16,2016,58950.0,1,1498.0,98.6,5,5.4,0,0,0,0,0,0,1,0,0,0,1,1
17,2017,25000.0,1,1248.0,74.0,5,5.99,0,0,0,0,0,1,0,0,0,0,1,1
18,2014,77469.0,1,1461.0,83.8,5,6.34,0,0,0,0,0,0,1,0,0,0,1,1
19,2014,78500.0,1,2143.0,167.62,5,5.75,1,0,0,0,0,0,0,0,0,0,1,0
20,2014,32982.0,1,1995.0,190.0,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
21,2015,55392.0,2,1248.0,88.5,5,8.25,1,0,0,0,0,0,0,0,0,0,1,1
22,2015,55985.0,1,1984.0,177.01,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
23,2010,45807.0,1,1197.0,80.0,5,1.87,0,0,0,0,0,0,0,1,0,0,1,1
24,2010,33000.0,1,1598.0,103.6,5,2.85,0,0,0,0,0,0,0,1,0,0,1,0
25,2012,51920.0,1,1497.0,116.3,5,4.25,0,0,0,0,0,0,0,0,1,0,1,1
26,2012,54000.0,1,1461.0,63.1,5,4.25,0,0,0,0,1,0,0,0,0,0,1,1
27,2013,54000.0,2,998.0,67.1,5,2.75,0,0,0,0,1,0,0,0,0,0,1,1
28,2018,37430.0,1,1199.0,88.7,5,5.75,0,0,0,0,0,0,1,0,0,0,1,1
29,2007,52609.0,4,2494.0,102.0,7,4.0,0,0,0,0,0,0,0,0,1,0,1,1
30,2013,62000.0,1,1461.0,108.45,5,7.75,1,0,0,0,0,0,0,0,0,0,1,1
31,2012,87615.0,1,1798.0,138.1,5,6.75,0,0,0,1,0,0,0,0,0,0,1,1
32,2013,72000.0,2,2696.0,184.0,7,5.75,1,0,0,0,0,0,0,0,0,0,1,0
33,2010,35000.0,1,2698.0,179.5,5,5.75,0,0,0,0,0,0,0,1,0,0,1,0
34,2014,55431.0,2,1598.0,103.5,5,6.98,0,0,1,0,0,0,0,0,0,0,1,1
35,2009,83816.0,2,1061.0,64.0,5,1.85,0,0,0,0,0,1,0,0,0,0,1,1
36,2018,50075.0,1,1248.0,88.5,5,8.63,0,0,0,0,0,0,1,0,0,0,1,1
37,2017,52000.0,1,1198.0,82.0,5,4.85,0,0,0,1,0,0,0,0,0,0,1,1
38,2013,85000.0,1,2987.0,97.7,5,5.75,0,0,0,0,0,0,0,0,0,1,1,0
39,2013,62000.0,1,1199.0,73.9,5,5.0,0,1,0,0,0,0,0,0,0,0,1,1
40,2008,90000.0,2,796.0,46.3,5,1.25,0,0,0,1,0,0,0,0,0,0,1,1
41,2014,19698.0,1,624.0,37.5,4,1.53,0,0,0,0,0,0,1,0,0,0,1,1
42,2017,22033.0,1,1198.0,77.0,6,5.58,0,0,1,0,0,0,0,0,0,0,1,1
43,2014,35487.0,1,1197.0,82.9,5,4.74,0,0,0,0,0,0,1,0,0,0,1,1
44,2014,46374.0,1,1999.0,149.92,5,8.85,1,0,0,0,0,0,0,0,0,0,1,0
45,2016,52001.0,1,1798.0,138.03,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
46,2008,58005.0,2,1991.0,112.2,5,4.25,0,0,0,0,0,0,0,0,0,0,1,1
47,2012,70704.0,1,2694.0,163.7,7,5.75,1,0,0,0,0,0,0,0,0,0,1,1
48,2014,75000.0,1,1120.0,71.0,5,3.85,0,0,0,0,0,1,0,0,0,0,1,1
49,2012,75800.0,2,2498.0,105.0,6,5.5,0,0,0,0,0,1,0,0,0,0,1,1
50,2015,13648.0,1,1968.0,174.33,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
51,2014,52000.0,1,1248.0,74.0,5,4.25,0,0,0,1,0,0,0,0,0,0,1,1
52,2014,53000.0,1,1248.0,75.0,5,3.3,0,0,0,0,0,0,0,1,0,0,1,1
53,2013,65650.0,1,1248.0,74.0,5,3.85,0,0,0,1,0,0,0,0,0,0,1,1
54,2015,54000.0,3,1197.0,82.0,5,3.6,0,1,0,0,0,0,0,0,0,0,1,1
55,2015,39000.0,1,1598.0,103.2,5,3.99,0,0,0,0,0,0,0,1,0,0,1,1
56,2017,16542.0,1,799.0,53.3,5,3.3,0,0,0,0,0,0,1,0,0,0,1,1
57,2010,32000.0,1,1197.0,78.9,5,2.07,0,0,0,0,0,0,0,1,0,0,1,1
58,2010,52602.25,1,1995.0,147.6,5,7.75,0,0,0,0,1,0,0,0,0,0,1,0
59,2010,39300.0,1,998.0,67.1,5,2.25,0,0,0,0,1,0,0,0,0,0,1,1
60,2017,22000.0,1,2393.0,147.8,8,5.75,0,0,0,0,0,0,0,0,1,0,1,1
61,2010,72000.0,1,1399.0,68.0,5,2.75,1,0,0,0,0,0,0,0,0,0,1,1
62,2015,58000.0,1,1796.0,186.0,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
63,2011,65000.0,2,2148.0,170.0,5,5.75,0,0,0,0,0,0,0,0,0,1,1,1
64,2016,52609.0,1,1396.0,69.0,5,2.5,0,1,0,0,0,0,0,0,0,0,1,1
65,2012,65664.0,1,1968.0,140.0,5,5.75,0,0,0,0,0,1,0,0,0,0,1,0
66,2007,63000.0,2,1497.0,78.0,5,1.85,0,0,0,0,0,0,0,0,1,0,1,0
67,2019,15369.0,1,1950.0,97.7,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
68,2016,63000.0,1,1248.0,88.5,7,8.15,0,0,0,0,0,0,0,0,0,1,1,1
69,2018,13000.0,1,1396.0,88.7,5,5.75,0,0,0,0,0,0,0,0,1,0,1,1
70,2008,73000.0,1,1495.5,97.7,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
71,2015,55729.0,1,2179.0,140.0,7,5.75,0,0,0,0,0,0,0,0,1,0,1,1
72,2012,45178.0,1,1197.0,78.9,5,3.48,0,0,0,0,0,0,1,0,0,0,1,0
